,IDs,Canonical_Smiles,axis 1,axis 2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50
537,ID538,COC1NC(OCC(=O)O)CCC1OCc1cccc(-c2ccccc2)c1,13.885202407836914,-13.958128929138184,COC1NC(OCC(=O)O)CCC1OCc1cccc(-c2ccccc2)c1,0.743,3.61,0.381,0.1290111862394247,,,10.0,5,3.022000000000002,77.02000000000001,371.43300000000005,2,8,11.037666839454555,12.523308825491952,10.109649220638584,11.49292557105576,15.317766166719343,11.865581297297972,0.1290111862394247
538,ID539,COC1=CC(OCC(=O)O)NCC1OCc1cccc(-c2ccccc2)c1,13.137988090515137,-3.50008225440979,COC1=CC(OCC(=O)O)NCC1OCc1cccc(-c2ccccc2)c1,0.745,3.541,0.286,0.12784372725170717,,,10.0,5,2.7996000000000016,77.02000000000001,369.4170000000001,2,8,11.037666839454555,12.21742312459688,10.109649220638584,11.32399956920818,15.317766166719343,11.865581297297972,0.12784372725170717
539,ID540,COC1CC(OCC(=O)O)NCC1OCc1cccc(-c2ccccc2)c1,14.005925178527832,-14.594596862792969,COC1CC(OCC(=O)O)NCC1OCc1cccc(-c2ccccc2)c1,0.743,3.531,0.381,0.1290111862394247,,,10.0,5,2.674400000000001,77.02000000000001,371.43300000000005,2,8,11.037666839454555,12.041731510550441,10.109649220638584,11.49292557105576,15.317766166719343,11.865581297297972,0.1290111862394247
540,ID541,CON1CC(OCC(=O)O)NCC1OCc1cccc(-c2ccccc2)c1,12.742584228515625,-17.846195220947266,CON1CC(OCC(=O)O)NCC1OCc1cccc(-c2ccccc2)c1,0.734,3.592,0.35,0.13430394008392949,,,10.0,6,2.0902,80.26,372.42100000000005,2,8,12.640043550948826,11.18610860904522,10.520032220594137,11.574852434558625,15.317766166719343,11.865581297297972,0.13430394008392949
541,ID542,COC1OC(OCC(=O)O)CCC1OCc1cccc(-c2ccccc2)c1,10.280353546142578,-6.843661308288574,COC1OC(OCC(=O)O)CCC1OCc1cccc(-c2ccccc2)c1,0.765,3.347,0.381,0.11633856484638239,,,10.0,5,3.4490000000000016,74.22000000000001,372.41700000000003,1,8,11.037666839454555,13.089601741814539,9.743328396176812,11.57452187198242,11.865581297297972,11.865581297297972,0.11633856484638239
542,ID543,COC1OC(OCC(=O)O)OCCC1OCc1cccc(-c2ccccc2)c1,9.35871410369873,-4.587009906768799,COC1OC(OCC(=O)O)OCCC1OCc1cccc(-c2ccccc2)c1,0.744,3.578,0.381,0.1284270644541213,,,10.0,6,3.0330000000000013,83.45000000000002,388.41600000000005,1,8,12.640043550948826,12.538237576569152,10.91081855222848,12.828811151193536,11.865581297297972,11.865581297297972,0.1284270644541213
543,ID544,COC1OC(OCC(=O)O)NCC1OCc1cccc(-c2ccccc2)c1,11.209505081176758,-7.183324813842773,COC1OC(OCC(=O)O)NCC1OCc1cccc(-c2ccccc2)c1,0.734,3.63,0.35,0.13430394008392949,,,10.0,6,2.2159000000000004,86.25000000000001,373.4050000000001,2,8,12.640043550948826,11.375430456741759,11.243644957734842,11.655895425897535,15.317766166719343,11.865581297297972,0.13430394008392949
544,ID545,COC1OC(OCC(=O)O)OCC1OCc1cccc(-c2ccccc2)c1,10.808680534362793,-4.779820919036865,COC1OC(OCC(=O)O)OCC1OCc1cccc(-c2ccccc2)c1,0.76,3.531,0.35,0.11918640771920865,,,10.0,6,2.642900000000001,83.45000000000002,374.38900000000007,1,8,12.640043550948826,11.997119951053179,10.91081855222848,11.736394756305813,11.865581297297972,11.865581297297972,0.11918640771920865
545,ID546,COC1CC(OCc2cccc(-c3ccccc3)c2)CNC(OCC(=O)O)O1,10.181844711303711,-8.383798599243164,COC1CC(OCc2cccc(-c3ccccc3)c2)CNC(OCC(=O)O)O1,0.72,3.639,0.381,0.14266750356873156,,,10.0,6,2.606,86.25,387.4320000000002,2,8,12.640043550948826,11.944648884687034,11.24364495773484,12.755337876711796,15.317766166719343,11.865581297297972,0.14266750356873156
546,ID547,COC1CC(OCc2cccc(-c3ccccc3)c2)COC(OCC(=O)O)O1,9.631938934326172,-4.418549537658691,COC1CC(OCc2cccc(-c3ccccc3)c2)COC(OCC(=O)O)O1,0.744,3.596,0.381,0.1284270644541213,,,10.0,6,3.0330000000000004,83.45,388.4160000000002,1,8,12.640043550948826,12.538237576569149,10.91081855222848,12.828811151193548,11.865581297297972,11.865581297297972,0.1284270644541213
547,ID548,COC1=C(OCc2cccc(-c3ccccc3)c2)COC(OCC(=O)O)C1,14.443565368652344,-0.7281440496444702,COC1=C(OCc2cccc(-c3ccccc3)c2)COC(OCC(=O)O)C1,0.766,3.138,0.286,0.11577123036739606,,,10.0,5,3.575800000000002,74.22,370.4010000000002,1,8,11.037666839454555,13.252745276818647,9.74332839617681,11.406748658471523,11.865581297297972,11.865581297297972,0.11577123036739606
548,ID549,COC1CC(OCC(=O)O)OCC1OCc1cccc(-c2ccccc2)c1,10.407841682434082,-6.4370903968811035,COC1CC(OCC(=O)O)OCC1OCc1cccc(-c2ccccc2)c1,0.768,3.313,0.381,0.11463877996848798,,,10.0,5,3.1014000000000017,74.22000000000001,372.41700000000003,1,8,11.037666839454555,12.630652773746055,9.743328396176812,11.57452187198242,11.865581297297972,11.865581297297972,0.11463877996848798
549,ID550,COC1CC(OCc2cccc(-c3ccccc3)c2)COC(OCC(=O)O)N1,10.106249809265137,-7.833383083343506,COC1CC(OCc2cccc(-c3ccccc3)c2)COC(OCC(=O)O)N1,0.72,3.77,0.381,0.14266750356873156,,,10.0,6,2.606,86.25,387.4320000000002,2,8,12.640043550948826,11.944648884687034,11.24364495773484,12.755337876711796,15.317766166719343,11.865581297297972,0.14266750356873156
550,ID551,COC1NC(OCC(=O)O)OCCC1OCc1cccc(-c2ccccc2)c1,9.009858131408691,-5.527956485748291,COC1NC(OCC(=O)O)OCCC1OCc1cccc(-c2ccccc2)c1,0.72,3.725,0.381,0.14266750356873156,,,10.0,6,2.6060000000000008,86.25000000000001,387.432,2,8,12.640043550948826,11.944648884687037,11.243644957734842,12.755337876711783,15.317766166719343,11.865581297297972,0.14266750356873156
