,IDs,Canonical_Smiles,axis 1,axis 2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50
78,ID79,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CSC(c2ccccc2)[N+]1,13.916244506835938,-29.51589584350586,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CSC(c2ccccc2)[N+]1,0.661,5.3,0.556,0.17979854051435976,,,10.0,6,0.6877,93.0,378.45,0,8,12.640043550948826,8.842305351817782,12.009971394239873,12.06302048631393,7.0,11.865581297297972,0.17979854051435976
79,ID80,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CCSC(c2ccccc2)[N+]1,15.636991500854492,-30.178987503051758,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CCSC(c2ccccc2)[N+]1,0.657,5.281,0.579,0.1824346304402192,,,10.0,6,1.0777999999999999,93.0,392.47700000000003,0,8,12.640043550948826,9.541476535086932,12.009971394239873,13.127366381314761,7.0,11.865581297297972,0.1824346304402192
80,ID81,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CCCSC(c2ccccc2)[N+]1,17.469581604003906,-31.46985626220703,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CCCSC(c2ccccc2)[N+]1,0.649,5.249,0.6,0.18775530319963077,,,10.0,6,1.4678999999999993,93.0,406.5040000000001,0,8,12.640043550948826,10.202144116226673,12.009971394239873,14.104952567151514,7.0,11.865581297297972,0.18775530319963077
81,ID82,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CN(c2ccccc2)CC[N+]1,13.180415153503418,-28.769603729248047,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CN(c2ccccc2)CC[N+]1,0.622,4.974,0.579,0.20620961530918128,,,10.0,6,-0.23769999999999736,96.24000000000001,375.42500000000007,0,8,12.640043550948826,7.0,12.361120805811844,11.820568567025571,7.0,11.865581297297972,0.20620961530918128
82,ID83,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CC(c2ccccc2)SC[N+]1,15.636991500854492,-30.178987503051758,CON1C(=O)C(CCC(=O)[O-])CC1OCC1CC(c2ccccc2)SC[N+]1,0.657,5.291,0.579,0.1824346304402192,,,10.0,6,1.0778000000000003,93.0,392.47700000000003,0,8,12.640043550948826,9.541476535086932,12.009971394239873,13.127366381314761,7.0,11.865581297297972,0.1824346304402192
83,ID84,CON1C(=O)C(CCC(=O)O)CC1OCC1CC(c2ccccc2)n2nccc21,15.27354621887207,5.251088619232178,CON1C(=O)C(CCC(=O)O)CC1OCC1CC(c2ccccc2)n2nccc21,0.733,4.423,0.476,0.13489602535887207,,,10.0,6,2.5772000000000004,93.89,399.44700000000006,1,8,12.640043550948826,11.903535843198547,12.107457211744778,13.623081307747194,11.865581297297972,11.865581297297972,0.13489602535887207
84,ID85,CON1C(=O)C(CCC(=O)O)CC1OCC1CCn2nc(-c3ccccc3)cc21,14.361401557922363,5.5763397216796875,CON1C(=O)C(CCC(=O)O)CC1OCC1CCn2nc(-c3ccccc3)cc21,0.733,4.216,0.476,0.13489602535887207,,,10.0,6,2.6548000000000007,93.89,399.44700000000006,1,8,12.640043550948826,12.013992705166674,12.107457211744778,13.623081307747194,11.865581297297972,11.865581297297972,0.13489602535887207
85,ID86,CON1C(=O)C(CCC(=O)O)CC1OCC1CCc2cc(-c3ccccc3)nn21,14.361401557922363,5.5763397216796875,CON1C(=O)C(CCC(=O)O)CC1OCC1CCc2cc(-c3ccccc3)nn21,0.733,4.195,0.476,0.13489602535887207,,,10.0,6,2.6548000000000007,93.89000000000001,399.44700000000006,1,8,12.640043550948826,12.013992705166674,12.10745721174478,13.623081307747194,11.865581297297972,11.865581297297972,0.13489602535887207
86,ID87,CON1C(=O)C(CCC(=O)O)CC1OCC1CC(c2ccccc2)c2ccnn21,15.27354621887207,5.251088619232178,CON1C(=O)C(CCC(=O)O)CC1OCC1CC(c2ccccc2)c2ccnn21,0.733,4.461,0.476,0.13489602535887207,,,10.0,6,2.5772000000000004,93.89000000000001,399.44700000000006,1,8,12.640043550948826,11.903535843198547,12.10745721174478,13.623081307747194,11.865581297297972,11.865581297297972,0.13489602535887207
87,ID88,CON1C(=O)C(CCC(=O)O)CC1OCc1cn(-c2ccccc2)ccc1=O,13.874977111816406,-1.069837212562561,CON1C(=O)C(CCC(=O)O)CC1OCc1cn(-c2ccccc2)ccc1=O,0.745,3.84,0.35,0.12784372725170717,,,10.0,6,1.9548999999999992,98.07,386.40400000000005,1,8,12.640043550948826,10.97893367356792,12.55500662866914,12.67809567796451,11.865581297297972,11.865581297297972,0.12784372725170717
88,ID89,CON1C(=O)C(CCC(=O)O)CC1OCc1cc(-c2ccccc2)cn(C)c1=O,16.0249080657959,3.7583887577056885,CON1C(=O)C(CCC(=O)O)CC1OCc1cc(-c2ccccc2)cn(C)c1=O,0.729,3.694,0.381,0.1372724716820254,,,10.0,6,2.1696999999999997,98.07,400.4310000000001,1,8,12.640043550948826,11.306193443266748,12.55500662866914,13.691443705837838,11.865581297297972,11.865581297297972,0.1372724716820254
89,ID90,CON1C(=O)C(CCC(=O)O)CC1OCc1cccn(-c2ccccc2)c1=O,13.247842788696289,-0.6434301733970642,CON1C(=O)C(CCC(=O)O)CC1OCc1cccn(-c2ccccc2)c1=O,0.745,3.635,0.35,0.12784372725170717,,,10.0,6,1.9548999999999992,98.07,386.40400000000005,1,8,12.640043550948826,10.97893367356792,12.55500662866914,12.67809567796451,11.865581297297972,11.865581297297972,0.12784372725170717
90,ID91,CON1C(=O)C(CCC(=O)O)CC1OCn1cccc(-c2ccccc2)c1=O,13.835338592529297,-0.3207828402519226,CON1C(=O)C(CCC(=O)O)CC1OCn1cccc(-c2ccccc2)c1=O,0.746,3.691,0.35,0.1272611725273312,,,10.0,6,2.0901999999999994,98.07,386.4040000000001,1,8,12.640043550948826,11.18610860904522,12.55500662866914,12.678095677964516,11.865581297297972,11.865581297297972,0.1272611725273312
