,IDs,Canonical_Smiles,component1,component2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50,PC1 contribution,PC2 contribution
0,ID1,CON1C(=O)CN(CC2=NC(=O)NC2=O)CC1OCc1cccc(-c2ccccc2)c1,2.7373708517836683,-1.1519618003710244,CON1C(=O)CN(CC2=NC(=O)NC2=O)CC1OCc1cccc(-c2ccccc2)c1,0.727,3.518,0.273,0.13846558914096216,,,10.0,6,1.5927000000000004,100.54,422.44100000000014,1,7,12.640043550948826,10.406048379539776,12.811828803845053,15.126842169484028,11.865581297297972,9.677722615770517,0.13846558914096216,0.0016598009134150622,0.0011959413660008122
1,ID2,COc1cn(CC2=NC(=O)NC2=O)cc1OCc1cccc(-c2ccccc2)c1,0.9808803835814084,-1.4290140379331033,COc1cn(CC2=NC(=O)NC2=O)cc1OCc1cccc(-c2ccccc2)c1,0.671,2.81,0.136,0.17327747983100789,,,10.0,5,3.4335000000000013,81.92,389.41100000000006,1,7,11.037666839454555,13.069506120879634,10.724975473519402,12.902651144478465,11.865581297297972,9.677722615770517,0.17327747983100789,0.00021311833808202073,0.0018403766828468799
2,ID3,COc1ccc(CC(=O)O)cc1OCC1CC2(CCC2c2ccccc2)C1,-1.237710065184607,0.5204690396200549,COc1ccc(CC(=O)O)cc1OCC1CC2(CCC2c2ccccc2)C1,0.773,3.297,0.435,0.11182050608167508,,,10.0,3,4.675100000000004,55.760000000000005,366.4570000000001,1,7,7.0,14.581229859247202,7.0,11.071583085508209,11.865581297297972,9.677722615770517,0.11182050608167508,0.0003393333680260815,0.00024413133878623013
3,ID4,COc1ccc(CC(=O)O)cc1OCC1CCC(=O)N(c2ccccc2)C1,-0.5046166229973992,0.37908533387179427,COc1ccc(CC(=O)O)cc1OCC1CCC(=O)N(c2ccccc2)C1,0.811,2.528,0.333,0.09097914578884393,,,10.0,4,3.144300000000002,76.07000000000001,369.4170000000001,1,7,9.187858681527455,12.688253851073519,9.986611069744132,11.32399956920818,11.865581297297972,9.677722615770517,0.09097914578884393,5.6404249899132126e-05,0.00012951131032731947
4,ID5,COc1ccc(CC(=O)O)cc1OCC1OC2CCC1C(c1ccccc1)C2,-1.0534780779289008,0.6089987357475204,COc1ccc(CC(=O)O)cc1OCC1OC2CCC1C(c1ccccc1)C2,0.783,4.19,0.435,0.10623823794205658,,,10.0,4,4.052400000000003,64.99000000000001,382.45600000000013,1,7,9.187858681527455,13.84684703009052,8.449888355692192,12.376740299953326,11.865581297297972,9.677722615770517,0.10623823794205658,0.0002458327433898683,0.0003342462273920204
5,ID6,COc1ccc(CC([O])=O)cc1OCC1CCCC(c2ccccc2)[N]1,-0.9978494020526335,0.473461396375273,COc1ccc(CC(=O)[O])cc1OCC1CCCC(c2ccccc2)[N]1,0.765,3.984,0.381,0.11633856484638239,,,10.0,3,3.4718000000000027,69.53,353.418,0,7,7.0,13.119100727008998,9.10352238689357,9.89174933797096,7.0,9.677722615770517,0.11633856484638239,0.00022055592297697135,0.0002020239607065919
6,ID7,COc1ccc(CC([O])=O)cc1OCC1CN(c2ccccc2)CC[N]1,-0.20255349888166738,0.370794247357816,COc1ccc(CC(=O)[O])cc1OCC1CN(c2ccccc2)CC[N]1,0.737,3.677,0.35,0.13253251214094852,,,10.0,4,2.0667999999999997,72.77000000000001,354.40600000000006,0,7,9.187858681527455,11.150532756306506,9.54913856621228,9.985325187054183,7.0,9.677722615770517,0.13253251214094852,9.087997970320704e-06,0.00012390810281034774
7,ID8,COc1ccc(CC(=O)O)cc1OCC1CCn2nc(-c3ccccc3)cc21,-0.12712079093089668,0.17093191314567993,COc1ccc(CC(=O)O)cc1OCC1CCn2nc(-c3ccccc3)cc21,0.678,2.93,0.273,0.16877030613293661,,,10.0,5,3.752100000000003,73.58000000000001,378.42800000000005,1,7,11.037666839454555,13.47595276290421,9.658004183794727,12.06127476630054,11.865581297297972,9.677722615770517,0.16877030613293661,3.5794961116945807e-06,2.6331769147206672e-05
8,ID9,COc1ccc(CC(=O)O)cc1OCc1cn(-c2ccccc2)ccc1=O,-0.027838506605374166,-0.08625799449684925,COc1ccc(CC(=O)O)cc1OCc1cn(-c2ccccc2)ccc1=O,0.696,2.3,0.143,0.15739076038943792,,,10.0,5,3.052200000000001,77.76,365.38500000000005,1,7,11.037666839454555,12.564250615851055,10.20462297842259,10.978841705862102,11.865581297297972,9.677722615770517,0.15739076038943792,1.7166453840163056e-07,6.705519736423555e-06
9,ID10,COc1ccc(CC(=O)O)cc1OCc1cc(-c2ccccc2)cn(C)c1=O,0.1600445861904756,-0.4926785578105442,COc1ccc(CC(=O)O)cc1OCc1cc(-c2ccccc2)cn(C)c1=O,0.682,2.171,0.182,0.16621562534352105,,,10.0,5,3.2670000000000012,77.76,379.4120000000001,1,7,11.037666839454555,12.851490904207706,10.20462297842259,12.139108772399165,11.865581297297972,9.677722615770517,0.16621562534352105,5.673756563052164e-06,0.0002187565446707108
10,ID11,COc1ccc(CC(=O)O)cc1OCc1cccc(-c2cc3n(n2)CCC3)c1,0.006398064679212634,-1.109282102454638,COc1ccc(CC(=O)O)cc1OCc1cccc(-c2cc3n(n2)CCC3)c1,0.678,2.349,0.273,0.16877030613293661,,,10.0,5,3.711000000000003,73.58000000000001,378.4280000000002,1,7,11.037666839454555,13.424287334599606,9.658004183794727,12.061274766300555,11.865581297297972,9.677722615770517,0.16877030613293661,9.067466809836896e-09,0.0011089647557790982
11,ID12,COc1ccc(CC(=O)O)cc1OCc1cccc(C(=O)N2CCC2)c1,-0.5596450886834051,-0.879192509436416,COc1ccc(CC(=O)O)cc1OCc1cccc(C(=O)N2CCC2)c1,0.826,1.876,0.3,0.0830199526796178,,,10.0,4,2.747200000000001,76.07000000000001,355.3900000000002,1,7,9.187858681527455,12.144203600517297,9.986611069744132,10.077802502021981,11.865581297297972,9.677722615770517,0.0830199526796178,6.937677633208168e-05,0.000696629225971358
