,IDs,Canonical_Smiles,component1,component2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50,PC1 contribution,PC2 contribution
393,ID394,COc1cc(CCC(=O)[O-])ccc1OCC1CC[N+]C(c2ccccc2)S1,0.29586389660835266,0.1212596520781517,COc1cc(CCC(=O)[O-])ccc1OCC1CC[N+]C(c2ccccc2)S1,0.698,4.124,0.381,0.15614457737683893,,,10.0,5,2.5652,72.69,385.485,0,8,11.037666839454555,11.886363749685376,9.538332622213275,12.608620108659537,7.0,11.865581297297972,0.15614457737683893,0.0008238385,0.00021376491
394,ID395,COc1cc(CCC(=O)[O-])ccc1OCC1CCC[N+]C(c2ccccc2)S1,0.14690248668193817,-0.20627547800540924,COc1cc(CCC(=O)[O-])ccc1OCC1CCC[N+]C(c2ccccc2)S1,0.682,4.152,0.409,0.16621562534352105,,,10.0,5,2.955300000000001,72.69,399.51200000000006,0,8,11.037666839454555,12.432386391002769,9.538332622213275,13.627609149674743,7.0,11.865581297297972,0.16621562534352105,0.00020310303,0.00061858445
395,ID396,COc1cc(CCC(=O)O)ccc1OCC1SC2(c3ccccc3)CC1C2,0.4855811297893524,0.2600517272949219,COc1cc(CCC(=O)O)ccc1OCC1SC2(c3ccccc3)CC1C2,0.726,3.808,0.409,0.1390633792999063,,,10.0,4,4.512100000000004,55.760000000000005,384.4970000000002,1,8,9.187858681527455,14.393295463981612,7.0,12.533476783239998,11.865581297297972,11.865581297297972,0.1390633792999063,0.0022191247,0.0009831579
396,ID397,COc1cc(CCC(=O)O)ccc1OCC1SC2CC1C2c1ccccc1,0.4632645547389984,0.1746070832014084,COc1cc(CCC(=O)O)ccc1OCC1SC2CC1C2c1ccccc1,0.732,4.361,0.409,0.13548891894160814,,,10.0,4,4.378900000000003,55.760000000000005,384.4970000000001,1,8,9.187858681527455,14.23750380212482,7.0,12.533476783239994,11.865581297297972,11.865581297297972,0.13548891894160814,0.0020198368,0.00044322832
397,ID398,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)CS1,0.3979877531528473,0.34852567315101624,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)CS1,0.745,3.133,0.381,0.12784372725170717,,,10.0,4,4.380500000000003,55.760000000000005,372.4860000000001,1,8,9.187858681527455,14.239387226036397,7.0,11.58022280055608,11.865581297297972,11.865581297297972,0.12784372725170717,0.001490725,0.0017659294
398,ID399,COc1cc(CCC(=O)O)ccc1OCC1OC(c2ccccc2)CS1,0.41221556067466736,0.2989073693752289,COc1cc(CCC(=O)O)ccc1OCC1OC(c2ccccc2)CS1,0.755,3.171,0.35,0.12205304837081175,,,10.0,5,3.9220000000000024,64.99000000000001,374.4580000000001,1,8,11.037666839454555,13.687198899633326,8.449888355692192,11.742019316989992,11.865581297297972,11.865581297297972,0.12205304837081175,0.0015992151,0.001298904
399,ID400,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]C(c2ccccc2)CS1,0.3413953483104706,0.09973926842212677,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]C(c2ccccc2)CS1,0.711,4.05,0.35,0.1481303992702337,,,10.0,5,2.1750999999999996,72.69,371.4580000000001,0,8,11.037666839454555,11.314306729080826,9.538332622213275,11.495005531680384,7.0,11.865581297297972,0.1481303992702337,0.0010969158,0.0001446226
400,ID401,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)=CCS1,0.23745788633823395,0.1718658059835434,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)=CCS1,0.716,2.996,0.318,0.14508697769214446,,,10.0,4,4.680300000000004,55.760000000000005,384.49700000000007,1,8,9.187858681527455,14.587177134487595,7.0,12.533476783239989,11.865581297297972,11.865581297297972,0.14508697769214446,0.00053067826,0.00042942047
401,ID402,COc1cc(CCC(=O)O)ccc1OCC1C=C(c2ccccc2)CCS1,0.25349390506744385,0.23802290856838226,COc1cc(CCC(=O)O)ccc1OCC1C=C(c2ccccc2)CCS1,0.716,3.003,0.318,0.14508697769214446,,,10.0,4,4.680300000000004,55.760000000000005,384.4970000000001,1,8,9.187858681527455,14.587177134487595,7.0,12.533476783239994,11.865581297297972,11.865581297297972,0.14508697769214446,0.00060477405,0.0008236473
402,ID403,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)CCS1,0.5140658020973206,0.4052627980709076,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)CCS1,0.708,3.122,0.409,0.14996674231023102,,,10.0,4,4.770600000000004,55.760000000000005,386.51300000000015,1,8,9.187858681527455,14.689986600199358,7.0,12.686309359590595,11.865581297297972,11.865581297297972,0.14996674231023102,0.0024871132,0.0023876862
403,ID404,COc1cc(CCC(=O)O)ccc1OCC1OC(c2ccccc2)CCS1,0.4781949818134308,0.41892480850219727,COc1cc(CCC(=O)O)ccc1OCC1OC(c2ccccc2)CCS1,0.727,3.212,0.381,0.13846558914096216,,,10.0,5,4.312100000000004,64.99000000000001,388.4850000000001,1,8,11.037666839454555,14.158605880111871,8.449888355692192,12.83394640122772,11.865581297297972,11.865581297297972,0.13846558914096216,0.0021521284,0.0025513847
404,ID405,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]C(c2ccccc2)CCS1,0.3474675714969635,0.23429125547409058,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]C(c2ccccc2)CCS1,0.698,4.069,0.381,0.15614457737683893,,,10.0,5,2.5652,72.69,385.4850000000001,0,8,11.037666839454555,11.886363749685376,9.538332622213275,12.608620108659544,7.0,11.865581297297972,0.15614457737683893,0.0011362835,0.00079802395
405,ID406,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]C(c2ccccc2)CCCS1,0.27161675691604614,0.17017418146133423,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]C(c2ccccc2)CCCS1,0.682,4.071,0.409,0.16621562534352105,,,10.0,5,2.9553000000000003,72.69,399.51200000000017,0,8,11.037666839454555,12.432386391002767,9.538332622213275,13.62760914967475,7.0,11.865581297297972,0.16621562534352105,0.0006943385,0.00042100874
