,IDs,Canonical_Smiles,component1,component2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50,PC1 contribution,PC2 contribution
727,ID728,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCSCC2)c1,0.3744472861289978,-0.16592317819595337,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCSCC2)c1,0.725,2.278,0.381,0.13966199342900631,,,10.0,5,4.348200000000003,64.99000000000001,388.4850000000002,1,8,11.037666839454555,14.201308236244316,8.449888355692192,12.833946401227724,11.865581297297972,11.865581297297972,0.13966199342900631,0.0015837823,0.0005717652
728,ID729,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CC[N+]CC2)c1,0.3945987820625305,0.21706777811050415,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CC[N+]CC2)c1,0.71,3.224,0.381,0.14874165128092473,,,10.0,5,1.8846999999999998,81.92000000000002,369.4170000000002,0,8,11.037666839454555,10.870015506017388,10.724975473519404,11.32399956920819,7.0,11.865581297297972,0.14874165128092473,0.0017588368,0.0009785754
729,ID730,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCOC2)c1,0.44787052273750305,0.12644535303115845,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCOC2)c1,0.781,2.579,0.35,0.10734896612269966,,,10.0,5,3.241500000000002,74.22000000000001,358.39000000000016,1,8,11.037666839454555,12.817748635249298,9.743328396176812,10.355425581541814,11.865581297297972,11.865581297297972,0.10734896612269966,0.0022657868,0.0003320545
730,ID731,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCCOC2)c1,0.43360355496406555,0.07730767875909805,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCCOC2)c1,0.763,2.594,0.381,0.11747546204511952,,,10.0,5,3.6316000000000024,74.22000000000001,372.4170000000002,1,8,11.037666839454555,13.32384187263368,9.743328396176812,11.574521871982434,11.865581297297972,11.865581297297972,0.11747546204511952,0.0021237321,0.00012412203
731,ID732,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CNCOC2)c1,0.34848320484161377,0.0945044755935669,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CNCOC2)c1,0.735,2.896,0.35,0.1337126609158051,,,10.0,6,2.3985000000000003,86.25000000000001,373.40500000000014,2,8,12.640043550948826,11.645237554816035,11.243644957734842,11.65589542589754,15.317766166719343,11.865581297297972,0.1337126609158051,0.0013717589,0.00018548481
732,ID733,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2COCOC2)c1,0.2884402573108673,-0.10386351495981216,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2COCOC2)c1,0.761,2.357,0.35,0.11861534322942716,,,10.0,6,2.825500000000001,83.45000000000002,374.3890000000002,1,8,12.640043550948826,12.253449371510943,10.91081855222848,11.736394756305822,11.865581297297972,11.865581297297972,0.11861534322942716,0.00093977916,0.00022404209
733,ID734,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CC[N+]COC2)c1,0.3044474720954895,0.0013766138581559062,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CC[N+]COC2)c1,0.683,3.741,0.381,0.1655792963184674,,,10.0,6,1.4686999999999997,91.15000000000002,385.4160000000002,0,8,12.640043550948826,10.203462290556555,11.804762344893135,12.603387500835794,7.0,11.865581297297972,0.1655792963184674,0.0010469811,3.935753e-08
734,ID735,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2COCSC2)c1,0.1511021852493286,-0.279630184173584,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2COCSC2)c1,0.739,3.015,0.35,0.13135556160517428,,,10.0,6,3.5421000000000022,74.22000000000001,390.45700000000016,1,8,12.640043550948826,13.209602097348574,9.743328396176812,12.97978910506176,11.865581297297972,11.865581297297972,0.13135556160517428,0.00025790252,0.0016239464
735,ID736,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2C[N+]CSC2)c1,0.21378743648529053,-0.10568331927061081,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2C[N+]CSC2)c1,0.687,3.763,0.35,0.16304326294044952,,,10.0,6,1.7951999999999997,81.92000000000002,387.45700000000016,0,8,12.640043550948826,10.729703369116942,10.724975473519404,12.75721015605967,7.0,11.865581297297972,0.16304326294044952,0.00051627186,0.0002319618
736,ID737,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2C[N+]C2)c1,0.3794173002243042,0.28075742721557617,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2C[N+]C2)c1,0.718,3.056,0.316,0.14387555575769967,,,10.0,5,1.1044999999999996,81.92000000000002,341.3630000000001,0,8,11.037666839454555,9.587873383919458,10.724975473519404,8.687029027353077,7.0,11.865581297297972,0.14387555575769967,0.001626104,0.0016370658
737,ID738,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CC[N+]C2)c1,0.3441421091556549,0.24469563364982605,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CC[N+]C2)c1,0.717,3.646,0.35,0.1444808443321999,,,10.0,5,1.4945999999999997,81.92000000000002,355.39000000000016,0,8,11.037666839454555,10.246060143721825,10.724975473519404,10.077802502021976,7.0,11.865581297297972,0.1444808443321999,0.0013377954,0.0012435294
738,ID739,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CCOC[N+]C2)c1,0.2857123911380768,0.047397781163454056,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CCOC[N+]C2)c1,0.683,3.687,0.381,0.1655792963184674,,,10.0,6,1.4686999999999997,91.15,385.4160000000002,0,8,12.640043550948826,10.203462290556555,11.804762344893135,12.603387500835794,7.0,11.865581297297972,0.1655792963184674,0.0009220877,4.66573e-05
739,ID740,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CCSC[N+]C2)c1,0.22640782594680786,-0.14444106817245483,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CCSC[N+]C2)c1,0.674,3.759,0.381,0.17134010346468015,,,10.0,6,2.1853,81.92000000000002,401.4840000000002,0,8,12.640043550948826,11.329616874127339,10.724975473519404,13.764170991883681,7.0,11.865581297297972,0.17134010346468015,0.0005790245,0.00043329629
