,IDs,Canonical_Smiles,axis 1,axis 2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50
167,ID168,CON1C(=O)C(CCC(=O)O)CC1OCc1ncc(-c2ccccc2)o1,20.96455192565918,-8.634379386901855,CON1C(=O)C(CCC(=O)O)CC1OCc1ncc(-c2ccccc2)o1,0.771,3.635,0.389,0.11294562194904302,,,10.0,6,2.4589999999999996,102.10000000000001,360.36600000000004,1,8,12.640043550948826,11.733310009116515,12.971245267383212,10.534839664654221,11.865581297297972,11.865581297297972,0.11294562194904302
168,ID169,CON1C(=O)C(CCC(=O)O)CC1OCc1cc(-c2ccccc2)co1,15.665116310119629,-10.9979829788208,CON1C(=O)C(CCC(=O)O)CC1OCc1cc(-c2ccccc2)co1,0.779,3.71,0.368,0.10846254232743552,,,10.0,5,3.064000000000001,89.21000000000001,359.37800000000004,1,8,11.037666839454555,12.580209863520402,11.58573283777309,10.445467926362692,11.865581297297972,11.865581297297972,0.10846254232743552
169,ID170,CON1C(=O)C(CCC(=O)O)CC1OCc1nc(-c2ccccc2)no1,25.460161209106445,-5.384147644042969,CON1C(=O)C(CCC(=O)O)CC1OCc1nc(-c2ccccc2)no1,0.757,3.568,0.412,0.12090412049992724,,,10.0,7,1.8539999999999996,114.99000000000001,361.35400000000004,1,8,14.053439978825429,10.82207072702374,14.213217511471635,10.623550711542261,11.865581297297972,11.865581297297972,0.12090412049992724
170,ID171,CON1C(=O)C(CCC(=O)O)CC1OCc1ccc(-c2ccccc2)s1,20.726518630981445,-16.408111572265625,CON1C(=O)C(CCC(=O)O)CC1OCc1ccc(-c2ccccc2)s1,0.764,3.586,0.368,0.11690664142431005,,,10.0,5,3.5325000000000015,76.07000000000001,375.446,1,8,11.037666839454555,13.19728361212473,9.986611069744132,11.822268702297112,11.865581297297972,11.865581297297972,0.11690664142431005
171,ID172,CCON1C(=O)C(CCC(=O)O)CC1OCc1cccc(-c2ccccc2)c1,15.443795204162598,-6.949188232421875,CCON1C(=O)C(CCC(=O)O)CC1OCc1cccc(-c2ccccc2)c1,0.712,3.397,0.364,0.14752000636314364,,,10.0,4,3.861100000000002,76.07000000000001,383.444,1,9,9.187858681527455,13.611905407681451,9.986611069744132,12.452868411033908,11.865581297297972,13.715389455225072,0.14752000636314364
172,ID173,COC1C(CCC(=O)O)CC(=O)C1OCc1cccc(-c2ccccc2)c1,-34.64775466918945,-7.513338088989258,COC1C(CCC(=O)O)CC(=O)C1OCc1cccc(-c2ccccc2)c1,0.769,3.338,0.364,0.11407366019856895,,,10.0,4,3.707600000000003,72.83,368.4290000000001,1,8,9.187858681527455,13.420003330270102,9.557236643226389,11.240336000219571,11.865581297297972,11.865581297297972,0.11407366019856895
173,ID174,COC1C(CCC(=O)O)SC1OCc1cccc(-c2ccccc2)c1,-30.46845817565918,-16.280794143676758,COC1C(CCC(=O)O)SC1OCc1cccc(-c2ccccc2)c1,0.767,3.422,0.35,0.11520463605101904,,,10.0,4,4.191500000000003,55.760000000000005,358.4590000000001,1,8,9.187858681527455,14.014837334511537,7.0,10.361735956079913,11.865581297297972,11.865581297297972,0.11520463605101904
174,ID175,COC1C(CCC(=O)O)CN1C(=O)OCc1cccc(-c2ccccc2)c1,9.359028816223145,10.676997184753418,COC1C(CCC(=O)O)CN1C(=O)OCc1cccc(-c2ccccc2)c1,0.804,3.098,0.333,0.0947439512515487,,,10.0,4,3.7593000000000023,76.07000000000001,369.4170000000001,1,7,9.187858681527455,13.484980787822735,9.986611069744132,11.32399956920818,11.865581297297972,9.677722615770517,0.0947439512515487
175,ID176,COC1C(CCC(=O)O)CC(=O)N1OCC1CCN(c2ccccc2)C1=O,20.77239227294922,-0.02356892265379429,COC1C(CCC(=O)O)CC(=O)N1OCC1CCN(c2ccccc2)C1=O,0.741,3.947,0.526,0.13018179202067184,,,10.0,5,1.6568999999999996,96.38,376.4090000000001,1,8,11.037666839454555,10.509607152717058,12.376064767892597,11.899974391214958,11.865581297297972,11.865581297297972,0.13018179202067184
176,ID177,COC1C(CCC(=O)O)CC(=O)N1OCC1CCCN(c2ccccc2)C1=O,19.5250186920166,0.29355567693710327,COC1C(CCC(=O)O)CC(=O)N1OCC1CCCN(c2ccccc2)C1=O,0.73,3.904,0.55,0.1366771398795441,,,10.0,5,2.0469999999999997,96.38,390.43600000000015,1,8,11.037666839454555,11.120347512857695,12.376064767892597,12.97824531376551,11.865581297297972,11.865581297297972,0.1366771398795441
177,ID178,COC1C(CCC(=O)O)CC(=O)N1OCC1CCCOC(c2ccccc2)N1,11.288152694702148,-9.37578010559082,COC1C(CCC(=O)O)CC(=O)N1OCC1CCCOC(c2ccccc2)N1,0.699,4.331,0.6,0.15552282425431863,,,10.0,6,2.0711999999999997,97.33000000000001,392.4520000000001,2,8,12.640043550948826,11.157230289302081,12.476981575641595,13.125550977610907,15.317766166719343,11.865581297297972,0.15552282425431863
178,ID179,COC1C(CCC(=O)O)CC(=O)N1OCC1CSC(c2ccccc2)N1,23.747356414794922,-16.28254508972168,COC1C(CCC(=O)O)CC(=O)N1OCC1CSC(c2ccccc2)N1,0.713,4.385,0.556,0.14691047014813446,,,10.0,6,2.0076000000000005,88.10000000000001,380.466,2,8,12.640043550948826,11.060055106187841,11.458589950287818,12.221923534679537,15.317766166719343,11.865581297297972,0.14691047014813446
179,ID180,COC1C(CCC(=O)O)CC(=O)N1OCC1CN(c2ccccc2)CCN1,19.602785110473633,3.5579283237457275,COC1C(CCC(=O)O)CC(=O)N1OCC1CN(c2ccccc2)CCN1,0.7,3.972,0.579,0.1549019599857432,,,10.0,6,1.082200000000001,91.34,377.4410000000001,2,8,12.640043550948826,9.549134813684665,11.826000299298018,11.982692986373142,15.317766166719343,11.865581297297972,0.1549019599857432
