,IDs,Canonical_Smiles,component1,component2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50,PC1 contribution,PC2 contribution
742,ID743,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2NCCCCO2)c1,0.9581082983923187,1.3364967540842199,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2NCCCCO2)c1,0.72,2.826,0.381,0.14266750356873156,,,10.0,6,3.1362000000000014,86.25000000000001,387.4320000000002,2,8,12.640043550948826,12.677399275945515,11.243644957734842,12.755337876711796,15.317766166719343,11.865581297297972,0.14266750356873156,0.00045990794137922464,0.0018953651380705623
743,ID744,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2OCCCCO2)c1,0.6255726742108566,0.712113256723995,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2OCCCCO2)c1,0.74,2.247,0.381,0.13076828026902382,,,10.0,6,3.563200000000002,83.45000000000002,388.4160000000002,1,8,12.640043550948826,13.2366327424286,10.91081855222848,12.828811151193548,11.865581297297972,11.865581297297972,0.13076828026902382,0.00019606372306534334,0.000538090361656291
744,ID745,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2NCCCO2)c1,0.9585677376028933,0.5716777524937477,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2NCCCO2)c1,0.736,2.824,0.35,0.13312218566250114,,,10.0,6,2.746100000000001,86.25000000000001,373.40500000000014,2,8,12.640043550948826,12.142661751581329,11.243644957734842,11.65589542589754,15.317766166719343,11.865581297297972,0.13312218566250114,0.0004603491240803659,0.0003467844813782001
745,ID746,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2OCCCO2)c1,0.6260321134214312,-0.052705744866477076,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2OCCCO2)c1,0.76,2.211,0.35,0.11918640771920865,,,10.0,6,3.1731000000000016,83.45000000000002,374.3890000000002,1,8,12.640043550948826,12.726768572318635,10.91081855222848,11.736394756305822,11.865581297297972,11.865581297297972,0.11918640771920865,0.0001963518188992761,2.94763009791418e-06
746,ID747,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2NCCO2)c1,0.9590271768134683,-0.19314124909672453,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2NCCO2)c1,0.748,2.805,0.316,0.12609840213553863,,,10.0,6,2.356,86.25000000000001,359.3780000000001,2,8,12.640043550948826,11.582979655835793,11.243644957734842,10.445467926362696,15.317766166719343,11.865581297297972,0.12609840213553863,0.0004607905182900027,3.9582857526801556e-05
747,ID748,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2OCCO2)c1,0.6264915526320057,-0.8175247464569491,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2OCCO2)c1,0.775,2.21,0.316,0.1106982974936897,,,10.0,6,2.7830000000000013,83.45000000000002,360.36200000000014,1,8,12.640043550948826,12.194275937610785,10.91081855222848,10.534479174387439,11.865581297297972,11.865581297297972,0.1106982974936897,0.00019664012624170395,0.0007091839313805005
748,ID749,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCNCO2)c1,0.9585677376028937,0.5716777524937474,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCNCO2)c1,0.736,2.908,0.35,0.13312218566250114,,,10.0,6,2.7461,86.25000000000001,373.40500000000014,2,8,12.640043550948826,12.142661751581329,11.243644957734842,11.65589542589754,15.317766166719343,11.865581297297972,0.13312218566250114,0.00046034912408036635,0.00034678448137819977
749,ID750,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCOCO2)c1,0.6260321134214312,-0.052705744866477076,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCOCO2)c1,0.76,2.771,0.35,0.11918640771920865,,,10.0,6,3.1731000000000016,83.45000000000002,374.3890000000002,1,8,12.640043550948826,12.726768572318635,10.91081855222848,11.736394756305822,11.865581297297972,11.865581297297972,0.11918640771920865,0.0001963518188992761,2.94763009791418e-06
750,ID751,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCCOCO2)c1,0.6255726742108566,0.712113256723995,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCCOCO2)c1,0.74,2.787,0.381,0.13076828026902382,,,10.0,6,3.563200000000002,83.45000000000002,388.4160000000002,1,8,12.640043550948826,13.2366327424286,10.91081855222848,12.828811151193548,11.865581297297972,11.865581297297972,0.13076828026902382,0.00019606372306534334,0.000538090361656291
751,ID752,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CSCO2)c1,0.07932712074953076,0.2320111132981449,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CSCO2)c1,0.756,3.009,0.316,0.12147820449879346,,,10.0,6,3.4996000000000027,74.22000000000001,376.4300000000001,1,8,12.640043550948826,13.15497095005789,9.743328396176812,11.901663314361691,11.865581297297972,11.865581297297972,0.12147820449879346,3.152717723693568e-06,5.711821773754201e-05
752,ID753,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCSCO2)c1,0.07886768153895614,0.9968301148886168,COc1cc(OCC(=O)O)ccc1OCc1cccc(C2CCSCO2)c1,0.733,3.013,0.35,0.13489602535887207,,,10.0,6,3.889700000000003,74.22000000000001,390.45700000000016,1,8,12.640043550948826,13.647323755564251,9.743328396176812,12.97978910506176,11.865581297297972,11.865581297297972,0.13489602535887207,3.1163042616011493e-06,0.0010543853699587424
753,ID754,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CCC[N+]CO2)c1,1.8246928098124673,-1.045091496034654,COc1cc(OCC(=O)[O-])ccc1OCc1cccc(C2CCC[N+]CO2)c1,0.688,3.741,0.381,0.1624115617644887,,,10.0,6,1.8162999999999996,91.15000000000002,385.4160000000002,0,8,12.640043550948826,10.762930646670075,11.804762344893135,12.603387500835794,7.0,11.865581297297972,0.1624115617644887,0.0016680967137371325,0.0011589526673587529
