,molecule_chembl_id,Canonical_Smiles,axis 1,axis 2,Target 1 ID,Target 1 name,Target 2 ID,Target 2 name,Smiles,IC50_Target_1,IC50_Target_2,Activity Index,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB
0,CHEMBL1207579,CCCc1c2[nH]c(C(=O)O)cc(=NC)c2cc2c(=O)cc(C(=O)O)oc12,7.881985664367676,7.480713367462158,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,CCCc1c2[nH]c(C(=O)O)cc(=NC)c2cc2c(=O)cc(C(=O)O)oc12,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,5,2.1536999999999997,132.96,356.3340000000001,3,4
1,CHEMBL229128,Cc1ccccc1OCC(O)CO,1.551121473312378,-5.790592193603516,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,Cc1ccccc1OCC(O)CO,20000.0,1000000,-11.8594990552502,692964.6455628165,0.9999758202976771,11.999927460893032,3,0.7270199999999998,49.69,182.219,2,4
2,CHEMBL1329029,O=C1C(O)=C(O)C(=O)C(O)=C1O,12.766884803771973,1.4906784296035767,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,O=C1C(O)=C(O)C(=O)C(O)=C1O,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,6,-0.20659999999999995,115.06,172.09199999999998,4,0
3,CHEMBL528271,CCCCc1ccc2[nH]c(=NC(=O)OC)[nH]c2c1,-1.4012633562088013,-2.6348938941955566,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,CCCCc1ccc2[nH]c(=NC(=O)OC)[nH]c2c1,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,2,2.5057,70.24000000000001,247.29799999999997,2,3
4,CHEMBL13779,COC(=O)N/N=C/c1c[n+]([O-])c2ccccc2[n+]1[O-],5.6536030769348145,-1.1225754022598267,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,COC(=O)N/N=C/c1c[n+]([O-])c2ccccc2[n+]1[O-],19976.31,939800,-11.827862358056198,650413.5686950327,0.9385555897072162,11.815666769121648,5,-0.2034999999999998,104.57,262.225,1,2
5,CHEMBL225164,Oc1ccc(Cl)c2cccnc12,-4.187819480895996,-6.874915599822998,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,Oc1ccc(Cl)c2cccnc12,19976.31,356700,-11.343476360904262,238099.60458515686,0.3434021737317634,10.03020652119529,2,2.5938000000000008,33.120000000000005,179.60600000000002,1,0
6,CHEMBL497011,Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12,5.683318138122559,8.743304252624512,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,5,2.9021800000000013,78.66,366.4650000000001,3,6
7,CHEMBL127643,CCCCc1cc2ccccc2c(OCCN(C)C)n1,-9.093730926513672,0.6973105072975159,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,CCCCc1cc2ccccc2c(OCCN(C)C)n1,19976.31,68680,-10.519757832736477,34438.70946780744,0.04942843531768363,9.148285305953051,3,3.517800000000002,25.36,272.39199999999994,0,7
8,CHEMBL1684,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,7.401965141296387,6.234644889831543,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,19976.31,69550,-10.526051773906566,35053.89236743974,0.05031641932025376,9.150949257960761,5,1.6254000000000004,118.35999999999999,421.4220000000001,3,3
9,CHEMBL1199080,CC[N+](C)(C)Cc1ccccc1Br,-7.583494663238525,-7.524355411529541,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,CC[N+](C)(C)Cc1ccccc1Br,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,0,3.0454000000000017,0.0,243.16799999999998,0,3
